RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,Grupo_Posicion,Grupo_LineUp
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex THEPOT,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Oscar BONFIGLIO,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel LANGILLER,GK,G40',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Juan CARRENO,GK,G70',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Ernest LIBERATI,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Rafael GARZA,C,OH46',Capitán,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Andre MASCHINOT,GK,G43' G87',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Hilario LOPEZ,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Etienne MATTLER,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Dionisio MEJIA,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel PINEL,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Felipe ROSAS,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex VILLAPLANE,C,OH46',Capitán,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Manuel ROSAS,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,GK,G19',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Jose RUIZ,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel CAPELLE,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Alfredo SANCHEZ,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Augustin CHANTREL,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Efrain AMEZCUA,GK,OH46',Portero,Titular
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Edmond DELFOUR,GK,OH46',Portero,Titular
201,1096,MEX,LUQUE Juan (MEX),S,0,Luis PEREZ,GK,OH46',Portero,Titular
